origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
HKG,HND,NH 814,ANA,NH 814,ANA,2025-12-05 00:05:00,Dep 00:05,2025-12-05,False
HKG,ICN,TW 644,TWB,TW 644,TWB,2025-12-05 00:05:00,Dep 00:15,2025-12-05,False
HKG,CDG,CX 261,CPA,CX 261,CPA,2025-12-05 00:25:00,Dep 00:28,2025-12-05,False
HKG,FRA,CX 289,CPA,CX 289,CPA,2025-12-05 00:25:00,Dep 00:27,2025-12-05,False
HKG,FRA,LH 7015,DLH,CX 289,CPA,2025-12-05 00:25:00,Dep 00:27,2025-12-05,False
HKG,DOH,QR 815,QTR,QR 815,QTR,2025-12-05 00:25:00,Dep 00:17,2025-12-05,False
HKG,DOH,CX 9201,CPA,QR 815,QTR,2025-12-05 00:25:00,Dep 00:17,2025-12-05,False
HKG,DOH,LA 7419,LAN,QR 815,QTR,2025-12-05 00:25:00,Dep 00:17,2025-12-05,False
HKG,DOH,B6 6587,JBU,QR 815,QTR,2025-12-05 00:25:00,Dep 00:17,2025-12-05,False
HKG,DOH,BA 2328,BAW,QR 815,QTR,2025-12-05 00:25:00,Dep 00:17,2025-12-05,False
HKG,DOH,JU 8317,ASL,QR 815,QTR,2025-12-05 00:25:00,Dep 00:17,2025-12-05,False
HKG,DOH,IB 6245,IBE,QR 815,QTR,2025-12-05 00:25:00,Dep 00:17,2025-12-05,False
HKG,MEL,CX 105,CPA,CX 105,CPA,2025-12-05 00:30:00,Dep 00:34,2025-12-05,False
HKG,MEL,AY 5095,FIN,CX 105,CPA,2025-12-05 00:30:00,Dep 00:34,2025-12-05,False
HKG,MEL,BA 4567,BAW,CX 105,CPA,2025-12-05 00:30:00,Dep 00:34,2025-12-05,False
HKG,MEL,OM 5605,MGL,CX 105,CPA,2025-12-05 00:30:00,Dep 00:34,2025-12-05,False
HKG,JNB,CX 749,CPA,CX 749,CPA,2025-12-05 00:30:00,Dep 00:34,2025-12-05,False
HKG,JNB,LA 5632,LAN,CX 749,CPA,2025-12-05 00:30:00,Dep 00:34,2025-12-05,False
HKG,JNB,JL 7901,JAL,CX 749,CPA,2025-12-05 00:30:00,Dep 00:34,2025-12-05,False
HKG,DXB,EK 381,UAE,EK 381,UAE,2025-12-05 00:35:00,Dep 00:43,2025-12-05,False
HKG,DXB,TP 6349,TAP,EK 381,UAE,2025-12-05 00:35:00,Dep 00:43,2025-12-05,False
HKG,ICN,OZ 746,AAR,OZ 746,AAR,2025-12-05 00:40:00,Dep 00:37,2025-12-05,False
HKG,ICN,HX 1566,CRK,OZ 746,AAR,2025-12-05 00:40:00,Dep 00:37,2025-12-05,False
HKG,MAD,CX 315,CPA,CX 315,CPA,2025-12-05 00:40:00,Dep 00:54,2025-12-05,False
HKG,ZRH,CX 383,CPA,CX 383,CPA,2025-12-05 00:45:00,Dep 03:42,2025-12-05,False
HKG,ZRH,LX 9515,SWR,CX 383,CPA,2025-12-05 00:45:00,Dep 03:42,2025-12-05,False
HKG,MXP,CX 233,CPA,CX 233,CPA,2025-12-05 00:55:00,Dep 01:09,2025-12-05,False
HKG,ICN,KE 2012,KAL,KE 2012,KAL,2025-12-05 00:55:00,Dep 00:54,2025-12-05,False
HKG,ICN,DL 7774,DAL,KE 2012,KAL,2025-12-05 00:55:00,Dep 00:54,2025-12-05,False
HKG,ICN,VS 5516,VIR,KE 2012,KAL,2025-12-05 00:55:00,Dep 00:54,2025-12-05,False
HKG,ICN,WS 6036,WJA,KE 2012,KAL,2025-12-05 00:55:00,Dep 00:54,2025-12-05,False
HKG,MAN,CX 219,CPA,CX 219,CPA,2025-12-05 01:00:00,Dep 00:58,2025-12-05,False
HKG,SFO,CX 872,CPA,CX 872,CPA,2025-12-05 01:00:00,Dep 01:15,2025-12-05,False
HKG,SFO,MH 9198,MAS,CX 872,CPA,2025-12-05 01:00:00,Dep 01:15,2025-12-05,False
HKG,SFO,OM 5872,MGL,CX 872,CPA,2025-12-05 01:00:00,Dep 01:15,2025-12-05,False
HKG,SFO,AA 8930,AAL,CX 872,CPA,2025-12-05 01:00:00,Dep 01:15,2025-12-05,False
HKG,YVR,CX 888,CPA,CX 888,CPA,2025-12-05 01:00:00,Dep 01:02,2025-12-05,False
HKG,CAN,CX 950,CPA,CX 950,CPA,2025-12-05 01:15:00,Dep 01:26,2025-12-05,False
HKG,NRT,CX 524,CPA,CX 524,CPA,2025-12-05 01:25:00,Dep 01:21,2025-12-05,False
HKG,NRT,JL 7040,JAL,CX 524,CPA,2025-12-05 01:25:00,Dep 01:21,2025-12-05,False
HKG,NRT,QR 5844,QTR,CX 524,CPA,2025-12-05 01:25:00,Dep 01:21,2025-12-05,False
HKG,NRT,AA 8884,AAL,CX 524,CPA,2025-12-05 01:25:00,Dep 01:21,2025-12-05,False
HKG,MNL,HB 233,HGB,HB 233,HGB,2025-12-05 01:35:00,Dep 01:37,2025-12-05,False
HKG,SIN,CX 659,CPA,CX 659,CPA,2025-12-05 01:40:00,Dep 01:48,2025-12-05,False
HKG,SIN,AY 5133,FIN,CX 659,CPA,2025-12-05 01:40:00,Dep 01:48,2025-12-05,False
HKG,SIN,QR 3459,QTR,CX 659,CPA,2025-12-05 01:40:00,Dep 01:48,2025-12-05,False
HKG,SIN,OM 5613,MGL,CX 659,CPA,2025-12-05 01:40:00,Dep 01:48,2025-12-05,False
HKG,SIN,FJ 5472,FJI,CX 659,CPA,2025-12-05 01:40:00,Dep 01:48,2025-12-05,False
HKG,KIX,MM 068,APJ,MM 068,APJ,2025-12-05 01:45:00,Dep 02:00,2025-12-05,False
HKG,KIX,CX 566,CPA,CX 566,CPA,2025-12-05 01:50:00,Dep 01:48,2025-12-05,False
HKG,KIX,JL 7050,JAL,CX 566,CPA,2025-12-05 01:50:00,Dep 01:48,2025-12-05,False
HKG,KIX,QR 5838,QTR,CX 566,CPA,2025-12-05 01:50:00,Dep 01:48,2025-12-05,False
HKG,DPS,HX 707,CRK,HX 707,CRK,2025-12-05 01:55:00,Dep 02:00,2025-12-05,False
HKG,DPS,GA 9771,GIA,HX 707,CRK,2025-12-05 01:55:00,Dep 02:00,2025-12-05,False
HKG,NRT,HX 606,CRK,HX 606,CRK,2025-12-05 02:00:00,Dep 01:52,2025-12-05,False
HKG,NRT,TK 9204,THY,HX 606,CRK,2025-12-05 02:00:00,Dep 01:52,2025-12-05,False
HKG,NRT,UO 854,HKE,UO 854,HKE,2025-12-05 02:00:00,Dep 01:56,2025-12-05,False
HKG,NRT,CX 5854,CPA,UO 854,HKE,2025-12-05 02:00:00,Dep 01:56,2025-12-05,False
HKG,ILO,5J 243,CEB,5J 243,CEB,2025-12-05 02:20:00,Dep 02:07,2025-12-05,False
HKG,TAE,UO 656,HKE,UO 656,HKE,2025-12-05 02:20:00,Dep 02:07,2025-12-05,False
HKG,KIX,HX 616,CRK,HX 616,CRK,2025-12-05 02:45:00,Dep 02:43,2025-12-05,False
HKG,KIX,TK 9211,THY,HX 616,CRK,2025-12-05 02:45:00,Dep 02:43,2025-12-05,False
HKG,KIX,EY 6810,ETD,HX 616,CRK,2025-12-05 02:45:00,Dep 02:43,2025-12-05,False
HKG,CJU,UO 676,HKE,UO 676,HKE,2025-12-05 02:45:00,Dep 02:36,2025-12-05,False
HKG,CJU,CX 5676,CPA,UO 676,HKE,2025-12-05 02:45:00,Dep 02:36,2025-12-05,False
HKG,JFK,CX 844,CPA,CX 844,CPA,2025-12-05 03:25:00,Dep 03:47,2025-12-05,False
HKG,JFK,MH 9210,MAS,CX 844,CPA,2025-12-05 03:25:00,Dep 03:47,2025-12-05,False
HKG,JFK,OM 5844,MGL,CX 844,CPA,2025-12-05 03:25:00,Dep 03:47,2025-12-05,False
HKG,ICN,UO 618,HKE,UO 618,HKE,2025-12-05 07:10:00,Dep 07:11,2025-12-05,False
HKG,ICN,CX 5618,CPA,UO 618,HKE,2025-12-05 07:10:00,Dep 07:11,2025-12-05,False
HKG,JJN,HB 546,HGB,HB 546,HGB,2025-12-05 07:15:00,Dep 07:11,2025-12-05,False
HKG,PEK,CX 334,CPA,CX 334,CPA,2025-12-05 07:20:00,Dep 07:13,2025-12-05,False
HKG,PEK,CA 6504,CCA,CX 334,CPA,2025-12-05 07:20:00,Dep 07:13,2025-12-05,False
HKG,CRK,UO 522,HKE,UO 522,HKE,2025-12-05 07:25:00,Dep 07:22,2025-12-05,False
