origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
LAX,TUS,AA 4909,AAL,OO 4909,SKW,2025-11-24 14:50:00,Arr 1939 (+136min),2025-11-24,False
ORD,FNT,AA 4910,AAL,OO 4910,SKW,2025-11-24 17:07:00,Arr 2035 (+75min),2025-11-24,False
SMF,LAX,AA 4911,AAL,OO 4911,SKW,2025-11-24 12:15:00,Arr 1339,2025-11-24,False
ORD,MKE,AA 4912,AAL,OO 4912,SKW,2025-11-24 10:35:00,Arr 1116,2025-11-24,False
ORD,TVC,AA 4913,AAL,OO 4913,SKW,2025-11-24 17:59:00,Arr 2025 (+9min),2025-11-24,False
PHX,SLC,AA 4914,AAL,OO 4914,SKW,2025-11-24 14:35:00,Arr 1615,2025-11-24,False
GRK,DFW,AA 4915,AAL,OO 4915,SKW,2025-11-24 11:52:00,Arr 1932 (+391min),2025-11-24,False
TVC,ORD,AA 4916,AAL,OO 4916,SKW,2025-11-24 20:47:00,Arr 2113,2025-11-24,False
OKC,PHX,AA 4917,AAL,OO 4917,SKW,2025-11-24 13:09:00,Arr 1423,2025-11-24,False
PHX,PVU,AA 4918,AAL,OO 4918,SKW,2025-11-24 13:20:00,Arr 1452,2025-11-24,False
FWA,ORD,AA 4920,AAL,OO 4920,SKW,2025-11-24 11:50:00,Arr 1309 (+62min),2025-11-24,False
FNT,ORD,AA 4921,AAL,OO 4921,SKW,2025-11-24 19:50:00,Arr 2217 (+108min),2025-11-24,False
MKE,ORD,AA 4923,AAL,OO 4923,SKW,2025-11-24 15:37:00,Arr 1630,2025-11-24,False
ORD,STL,AA 4924,AAL,OO 4924,SKW,2025-11-24 17:59:00,Arr 1934 (+7min),2025-11-24,False
STL,ORD,AA 4924,AAL,OO 4924,SKW,2025-11-24 19:58:00,Arr 2105,2025-11-24,False
DFW,SJT,AA 4925,AAL,OO 4925,SKW,2025-11-24 08:20:00,Cancelled,2025-11-24,False
SJT,DFW,AA 4925,AAL,OO 4925,SKW,2025-11-24 10:23:00,Arr 1553 (+254min),2025-11-24,False
SHV,DFW,AA 4926,AAL,OO 4926,SKW,2025-11-24 13:24:00,Arr 1625 (+101min),2025-11-24,False
ORD,DTW,AA 4927,AAL,OO 4927,SKW,2025-11-24 21:16:00,Arr 0102 (+70min),2025-11-24,False
PVU,DFW,AA 4928,AAL,OO 4928,SKW,2025-11-24 07:00:00,Arr 1213 (+82min),2025-11-24,False
SMF,LAX,AA 4929,AAL,OO 4929,SKW,2025-11-24 16:30:00,Arr 1812 (+5min),2025-11-24,False
PHX,FLG,AA 4930,AAL,OO 4930,SKW,2025-11-24 08:25:00,Arr 0922,2025-11-24,False
DTW,ORD,AA 4931,AAL,OO 4931,SKW,2025-11-24 05:33:00,Arr 0620 (+20min),2025-11-24,False
PHX,FLG,AA 4933,AAL,OO 4933,SKW,2025-11-24 11:20:00,Arr 1221,2025-11-24,False
ASE,DFW,AA 4934,AAL,OO 4934,SKW,2025-11-24 07:34:00,Arr 1208 (+70min),2025-11-24,False
ORD,OKC,AA 4935,AAL,OO 4935,SKW,2025-11-24 10:09:00,Arr 1223,2025-11-24,False
DFW,HOU,AA 4936,AAL,OO 4936,SKW,2025-11-24 07:10:00,Arr 1131 (+176min),2025-11-24,False
OMA,PHX,AA 4937,AAL,OO 4937,SKW,2025-11-24 14:38:00,Arr 1618,2025-11-24,False
PHX,OMA,AA 4937,AAL,OO 4937,SKW,2025-11-24 10:01:00,Arr 1341,2025-11-24,False
MKE,ORD,AA 4938,AAL,OO 4938,SKW,2025-11-24 12:05:00,Arr 1311,2025-11-24,False
MAF,PHX,AA 4939,AAL,OO 4939,SKW,2025-11-24 06:25:00,Arr 0715,2025-11-24,False
SHV,CLT,AA 4940,AAL,OO 4940,SKW,2025-11-24 07:02:00,Arr 1020,2025-11-24,False
PHX,SAF,AA 4941,AAL,OO 4941,SKW,2025-11-24 13:30:00,Arr 1458 (+6min),2025-11-24,False
PHX,PSC,AA 4944,AAL,OO 4944,SKW,2025-11-24 12:20:00,Arr 1529 (+72min),2025-11-24,False
PSC,PHX,AA 4944,AAL,OO 4944,SKW,2025-11-24 14:47:00,Arr 1921 (+47min),2025-11-24,False
IDA,PHX,AA 4947,AAL,OO 4947,SKW,2025-11-24 07:10:00,Arr 1020 (+50min),2025-11-24,False
PHX,YUM,AA 4948,AAL,OO 4948,SKW,2025-11-24 21:06:00,Arr 2300 (+56min),2025-11-24,False
DFW,DRO,AA 4949,AAL,OO 4949,SKW,2025-11-24 08:24:00,Arr 0928,2025-11-24,False
DRO,DFW,AA 4949,AAL,OO 4949,SKW,2025-11-24 10:21:00,Arr 1425 (+50min),2025-11-24,False
RST,ORD,AA 4951,AAL,OO 4951,SKW,2025-11-24 18:35:00,Arr 2008,2025-11-24,False
ORD,MHK,AA 4952,AAL,OO 4952,SKW,2025-11-24 11:39:00,Arr 1311,2025-11-24,False
PHX,GJT,AA 4954,AAL,OO 4954,SKW,2025-11-24 16:56:00,Arr 1812,2025-11-24,False
LEX,ORD,AA 4955,AAL,OO 4955,SKW,2025-11-24 06:00:00,Arr 0611,2025-11-24,False
MHK,ORD,AA 4956,AAL,OO 4956,SKW,2025-11-24 06:09:00,Arr 0806,2025-11-24,False
PHX,TUL,AA 4960,AAL,OO 4960,SKW,2025-11-24 10:10:00,Arr 1325,2025-11-24,False
TUL,PHX,AA 4960,AAL,OO 4960,SKW,2025-11-24 14:21:00,Arr 1548,2025-11-24,False
LAX,SAT,AA 4962,AAL,OO 4962,SKW,2025-11-24 18:00:00,Arr 2301 (+6min),2025-11-24,False
SHV,CLT,AA 4964,AAL,OO 4964,SKW,2025-11-24 16:43:00,Arr 2123 (+78min),2025-11-24,False
CLT,SHV,AA 4965,AAL,OO 4965,SKW,2025-11-24 17:27:00,Arr 2358 (+295min),2025-11-24,False
SAF,PHX,AA 4968,AAL,OO 4968,SKW,2025-11-24 15:25:00,Arr 1647,2025-11-24,False
ORD,STL,AA 4970,AAL,OO 4970,SKW,2025-11-24 06:44:00,Arr 0901 (+52min),2025-11-24,False
ELP,LAX,AA 4971,AAL,OO 4971,SKW,2025-11-24 12:36:00,Arr 1412 (+16min),2025-11-24,False
LAX,ELP,AA 4971,AAL,OO 4971,SKW,2025-11-24 09:05:00,Arr 1225 (+19min),2025-11-24,False
ORD,MKE,AA 4972,AAL,OO 4972,SKW,2025-11-24 14:05:00,Arr 1442,2025-11-24,False
PHX,TUS,AA 4973,AAL,OO 4973,SKW,2025-11-24 14:35:00,Arr 1531,2025-11-24,False
